Method	Compound	m/z	RT (min)	HMDB ID (*representativeID)	Metabolite	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	QCP02	S21	S22	S23	S24	TA	TB	TC	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	QCP03	T14	T15	T16	T17	T18	T19	T20	T21	QCP04
C18-neg	cmp.QI5027	439.1753	12.61			758025	484538	1002700	157094	853551	131267	417497	972764	549810	392490	327205	210465	339845	166959	499081	173084	535535	285719	120668	631287	822561	458445	165019	803506	599504	728087	577070	575769	487415	832153	727207	843170	742902	1092742	1048038	1021472	649489	607599	827879	663384	655145	669487	611918	586479	496564	847107	419782	997055	257262	1044372	817299
C18-neg	cmp.QI5028	439.1755	14.43			27319	96856	146	3205	117499	3562	33382	13834	3265	3976	2498	24293	902	15115			176	3961	302		112119	3559	40704	114277	98587	20147	24894	25298	37083	40923	8321	49570	10777	53398	124969	11969	9084	44777	101453	158072	84863	218684	232343	103669	16761	143862	36694	114848	2008	73352	100212
C18-neg	cmp.QI5029	439.2064	14.01			26551	18276	97727	14260	23402	40757	19879	69819	42846	55313	30728	17211	51499	31715	103477	62005	120325	23936	109962	57968	64353	68826	9297	25889	16574	22871	44601	60516	46928	69609	62419	42498	109996	60344	80317	83352	76355	63086	62980	29876	39246	20776	18411	76039	83200	48783	67356	15684	79395	33148	71301
C18-neg	cmp.QI5030	439.2507	17.70			1586	8741	11746	2366	2273	424	2760	8646	1806	2979	10116	3237	1911	3578	2724	320	2526	5045	147	18309	3455	6212	8370	1358	1447	946	1230	1613	13784	9354	2149	3876	1684	1048	144	840	1819	2682	3156	3160	4425	1855	802	1270	682	370	264	1305	759	2365	3463
C18-neg	cmp.QI5031	439.2606	13.18			39545	6978	3682	27506	3500	62922	25470	43049	41419	5199	56122	40733	24335	20639	16476	766	51700	967	38935	5365	18550	2850	41048	75077	23594	33639	14776	16328	5220	3936	1099	384	884	1432	7492	1541	1107	799	19353	2822	639	11531	15751	7831	3614	12222	3610	10321	10114	16620	20619
C18-neg	cmp.QI5032	439.2685	9.55			1635	6546	13234	5878	5817	9009	4967	1175	4318	5418	6134	8426		8481	116	3747	6090		5975	2229	3778	447	4586	6858	3699	1920	2187	4290	2371	1478	2541	128	2321	2000	1982	897	1909	2134	4515	1334	446	1362	1187	2448	229	673	296	3563	3917	1334	4590
C18-neg	cmp.QI5033	439.2689	8.20			10450	32202	87034	64486	26404	55943	26543	7036	40319	24266	36510	22567	11472	30691	5665	29744	85365	4003	23599	7596	19761	6522	17654	33423	22073	10946	9113	19965	12631	7456	9160	2006	8795	6266	9472	3447	8819	9571	20674	5897	3285	9343	7416	11209	4506	3984	6245	27140	25782	7607	20244
C18-neg	cmp.QI5034	439.2690	9.10			9491	45926	55329	90151	27914	36826	33012	8955	49092	23692	53659	39452	12721	32090	6968	26466	75392	6436	33579	9303	22162	7320	13042	38083	21542	9377	11110	17442	10476	6737	11810	3008	9177	8295	10180	4148	9512	11397	21438	6433	4727	9599	9432	12770	4163	5689	5623	21381	22054	9335	19795
C18-neg	cmp.QI5035	439.2717	15.86			121829	185314	321199	122615	157885	191226	290477	350800	506080	49036	26751	37018	30050	51064	42686	17229	105607	72449	27232	76630	74805	82342	88513	91564	84292	87091	79863	79495	69162	68573	74031	85340	76970	80031	80654	106821	73544	80028	84784	86113	75903	74738	77167	95395	107073	96624	76011	79256	65635	91988	65496
C18-neg	cmp.QI5036	439.2805	7.64			44289	73928	276977	216877	188359	528079	221363	142103	194552	195645	302178	179688	204557	266567	405495	90941	307291	29699	45640	62692	218659	180315	85354	183320	127073	40552	101161	138189	139352	24535	175220	119946	137479	62186	33687	21295	37602	249784	225526	75157	225447	278199	441355	137780	103870	77723	88327	69324	111982	31328	225429
C18-neg	cmp.QI5037	439.2952	10.38			126639	11989	349330	252553	154880	334307	188408	150191	119572	380635	361956	237846	333267	420450	364749	18730	430860	157110	288035	287442	256725	408568	254225	356680	176635	126688	154691	228856	137211	72565	98096	104780	117861	120637	104305	153472	119045	155803	288056	102977	159137	168070	121810	252911	216914	145699	230580	98598	174126	136437	251656
C18-neg	cmp.QI5038	439.2953	8.89			10458		104930	12220	5929	55368	11229	15315	13025	631214	44220	28184	64785	23961	330031	369645	56211	5922	269562	1087763	186739	1900384	21799	24099	5752	9920	26856	53393	12868	5028	12348	25290	18827	22270	8060	45491	19606	21728	192130	7040	8819	6330	7447	100685	44908	14277	80777	6560	27802	14838	180763
C18-neg	cmp.QI5039	439.3165	8.35			174	6776	7179		585	3346	10451	864		7664	2324	6752	6930	2510	27153	9253	5150		633	4488	5990	1739	29		1954	889	1927	4000	6305	160	7866	4685	5624	2265		2928	6711	7134	5797	8798	5609	6706	15850	9219	8281	6935	6262	5610	12280	730	7197
C18-neg	cmp.QI5040	440.2751	7.83			13795	36075	100240	99265	96497	197891	117268	89814	74345	125054	151569	111527	105052	144733	171578	54822	181589	22740	34288	49219	68668	122226	57197	104300	54787	17637	55743	69181	59925	19209	98884	76551	80628	47528	28147	25437	28088	84328	64908	45310	10026	3396	26891	67243	55282	39750	52496	26315	60777	18252	67819
C18-neg	cmp.QI5041	440.2977	10.18			6	4802	424	498	30	57	47	24	8	31923	1203	241	1991	69	5146	66953	3061		26949	54778	25098	63369	7	70	6466	34	8567	18770	409	981	4419	14376	18457	11136	4078	15245	12000	25347	23776	111	1076	13	18	16185	8122	239	27015	714	1020	5042	20178
C18-neg	cmp.QI5042	440.2979	9.33			999		1198	1323		6277	2515	662		24218	17842	3445	3888	14902	14522	55476	24638	648	9174	41550	9016	59181	7128	19210	1593	796	1554	2136	329	192	296	677	114	384	663	210		1617	5398	125	1339	1584	338	4914	2064	550	2894		983	1093	6259
C18-neg	cmp.QI5043	441.0117	1.47			678		12215	4510159	639012	140	16194916	852701	17482	15926540	8288		5978044	77928	29065551	610841	9377117		60409034	59906	5143812	10105956	709737	3327		1726	117	349	560	411	630	66	1169	1431	833	482	75	442	4939621	1374	272	76	372	174			1110	123	1	2242	5337273
C18-neg	cmp.QI5044	441.1211	6.56			66144	8672	28263	1225	96570	8513	79773	102628		341	1075	50182	5274	1353		3690	1786	11357	2124		47501		22743	64	2401	55198	119197	396873	35617	2316	63030	6966	68669	11372	4303	14237	2807	79129	55262	32235	36001	26944	69173	16749	8434	267837	199029	93737	26641	29711	54444
C18-neg	cmp.QI5045	441.1359	14.11			1720	215985	119											160	7248		3381	2037	23		155556			280		570	1166	322818	34255	91702	600501	349820	401282	1214945	1382402	1176306	483448	179895	152526	23139	23721	30483	16825	6517	2557	5540			170509	6309	134948
C18-neg	cmp.QI5046	441.1452	4.62			40228	2003	24741	15778	80250	1422	33529	28909		8371	105	2107		293	329		24		14373	8209	28126		313	8564	4398	24056	22820	87344	63362	36139	34617	13981	19368	45460	35317	55422	14787	48381	26354	55870	40406	43906	41730	48077	49161	53971	63452	47294	46610	41828	27198
C18-neg	cmp.QI5047	441.1453	4.25			44422	2711	88873	98318	64066	16802	131667	55732		12534	208			69	11856	1080		429	22707	11492	14393		189	9845	10683	19340	23621	20639	31422	14322	11525	7296	6843	14654	10924	12951	6356	14496	12460	25831	14415	22000	13232	9426	17526	11770	8679	47627	16084	32127	13938
C18-neg	cmp.QI5048	441.1453	3.98			85460	8223	152483	74726	75263	16391	155285	40072		27658	69	119	29	75	12887	6777		723	52427	43907	38177	229	212	26331	30069	50134	63326	72186	131009	45178	26596	32186	14650	39045	24829	41241	13903	35047	45010	81375	39679	45535	30263	36315	56220	32760	24285	134629	27181	62040	32864
C18-neg	cmp.QI5049	441.1606	6.82			68495	145519	2203	60962	46537	99061	145894	70505	154483	42958	46977	88408	3904	99229	350	1990	85668	42339	1183	41951	59857	787	1632	62442	143150	72132	49953	40149	9854	9531	4500	2976	4239	14438	29191	1720	1319	6112	58129	23746	12731	42489	45539	10112	3402	23008	3962	27500	8715	55163	57133
C18-neg	cmp.QI5050	441.2020	6.88			264998	1537	5792	34959	266	8499	3063	1070	21379	20998	62919	21263	57714	79536	4600	19664	48791	5046	74062	2320	40176	37280	4485	16574	2158	271210	48327	12931	6018	226128	5466	984	2583	59912	116889	5782	6103	1158	38265	17697	8508	9038	8824	11378	90401	77556	11623	34471	32277	19288	36254
C18-neg	cmp.QI5051	441.2022	6.98			139226	898	2488	17608		2737	331	427	12341	15560	27697	16893	44666	36493	2503	17632	32994	1527	61234	1666	22878	32249	3365	3704	2591	129969	22033	5691	3461	184788	3659	871	1342	50884	81935	3190	6375	290	26577	11472	8504	7371	5925	13348	73382	54236	8980	14311	19350	7869	24497
C18-neg	cmp.QI5052	441.2131	2.30				467	232	3929		20768	2802			77370			1292	5485					2387473		48350				63							118			59	207		158	46411		259			29277	3	1					49217
C18-neg	cmp.QI5053	441.2219	14.49			7875	1318	5939	2713		10592	4034	1404	5787	23971	20130	37880	67549	7876	39792	39993	40890	16447	66196	53384	26030	12857	6326	1447	7526	7308	8373	7929	7264	7839	9526	4652	19114		654	5177	17563	8830	27071	401				2095	13564		13837	3259	20495	3374	23066
C18-neg	cmp.QI5054	441.2395	7.36			1195	898	3866	5375	1385	3942	4682	2432	2678	8858	1631	1256	1570	2120	30993	17252	5213		15407	119505	11198	277320	853	1218	1459	884	1353	1364	587	456	259		329	195	629		665		15675		151	1096	336	989	18	186		1479	563	775	12901
C18-neg	cmp.QI5055	441.2397	8.65					1192	1655	653	1848	423	44	406	3535	26	285		270	0	185705	1636		10353	71071	18935	186818	81	154	305	173	124	31	103			502	397	107	358	206	212	563	15331				165	2149	0	91	785	315	251	91	14987
C18-neg	cmp.QI5056	441.2397	8.00			768	4015	2647	6476	448	5647	2609	222	2082	166786	9552	3252	3006	791	9728	534688	19206	83	247871	1670638	190355	3008358	470	2006	2832	1015	12442	15753	435	894	103	14813	29662	17999	1122	8928	619	35620	192119	228	58	1262	2522	70890	4553	2693	16934	3033	889	8347	202933
C18-neg	cmp.QI5057	441.2608	12.29			465021	607959	822010	1238824	390209	702578	1286931	483099	892666	131077	1263741	1476159	1323661	1009682	680031	1905	1367100	1585184	666239	49021	695823	674224	1312666	794968	1440229	494699	446328	207342	126888	174526	42138	188772	43674	104037	145944	59235	64269	68686	787511	486706	199903	358601	260306	103803	256278	208795	157278	136357	346839	598851	728923
C18-neg	cmp.QI5058	441.2609	11.62			153036	945	1966	4173	34555	60479	21555	8144	331	19664	14400	8626	47316	39468	11507	9741	60971	358	12937	4626	39951	6330	4604	8017	14960	128494	55954	27721	50567	36256	17922	17787	15694	63583	89945	20910	24457	31855	40541	39771	35060	42983	38121	81689	71196	60593	37990	92131	18929	97035	37254
C18-neg	cmp.QI5059	441.2609	13.25			10962	1282	68234	314873	37785	46894	201481	14579	40952	88817	330294	386846	53108	37443	19402		1590385	99651	607439	78024	214723	91638	226606	563263	98756	11201	7553	9529	3375	1421	643		817	636	1591	46	849	932	217836	1538	1649	1199	6819	8504	2968	5277	2521	20384	3027	3986	202533
C18-neg	cmp.QI5060	441.2839	9.54			6249	34163	16913	12092	13785	25738	18623	5962	18129	14565	11202	16132	9735	17586	7184	8192	22690	1677	13585	4849	11656	6012	1365	18167	13072	6332	5204	6831	4890	3263	6342	2192	3984	4826	6297	2216	5020	4901	9517	5058	4070	5519	6219	7611	3729	5237	3049	10647	6997	4909	11208
C18-neg	cmp.QI5061	441.2839	7.89			4215	23225	75217	28217	23123	42187	22491	8202	13129	24736	29771	23266	8449	25164	10877	23991	24194	309	26554	5384	21303	10541	17059	18439	11447	5003	26920	14715	12640	11482	52410	33358	30156	40776	6034	14916	26738	28134	18846	7323	21779	4635	7469	65450	44869	22070	27450	12383	18918	3548	18872
C18-neg	cmp.QI5062	441.2842	8.09			7686	67688	105702	53883	53284	78960	42140	10208	34520	33034	39576	48356	9612	42080	1311	44672	37553	779	57361	8871	31756	4041	30237	35131	20800	7989	11776	28220	16031	11892	57685	20175	39256	68823	9982	21192	18697	37072	32858	7333	39783	25638	18929	72198	131379	70896	54003	23612	31111	6147	31295
C18-neg	cmp.QI5063	441.2843	7.98			6396	58560	97681	51697	39747	62067	40935	6094	30278	39928	31694	38547	11070	44035	3971	28094	33489	542	47277	1373	27735		24992	28463	19098	7222	28892	23426	14913	13678	60104	31106	35284	43313	7485	16459	32596	32463	26669	8175	34381	10023	13148	74078	46540	23623	28776	22422	26962	6683	27874
C18-neg	cmp.QI5064	441.2844	8.18			13226	92996	165912	73772	61489	98111	71402	15197	47245	66707	66208	74017	23222	65347	6891	69857	65590	1459	84508	18365	48507	12286	49213	50371	32343	11667	17701	35377	19712	15612	65503	26180	51802	79323	16244	25090	25474	48769	47367	11347	49998	34850	23965	82860	161751	73686	61840	36710	45282	10333	51246
C18-neg	cmp.QI5065	441.2844	8.56			5494	38579	96010	37669	28356	41555	28208	3240	20135	27285	32675	29380	6788	42048	5071	27027	24237	570	30446	4948	17895		25214	30115	14985	5362	8251	21538	11127	4883	17425	2085	12918	4183	5950	1616	5485	10839	17511	4996	2927	8703	8936	9252	2696	4079	4638	16655	17315	4318	18109
C18-neg	cmp.QI5066	441.2845	9.50			6739	54572	19799	17653	18273	35098	23868	9086	23944	17231	14061	29379	18729	18853	10817	9421	32502	2254	21415	10164	14795	10375	5451	31623	16924	6661	6958	7786	7316	4050	8180	2990	5438	6829	7191	2807	6228	6844	14416	6243	4570	6481	6217	8472	5203	5232	3600	16067	9986	5500	15821
C18-neg	cmp.QI5067	441.2845	8.39			17589	106294	205550	95293	75982	154019	94263	26885	64236	96923	88103	112665	46678	110936	41977	56666	95892	5046	117225	34624	54236	32543	59254	78347	46801	16787	28048	49458	31709	14230	34717	14576	34729	17899	14405	6712	15703	34730	52785	18876	14753	24461	30315	28145	15018	15309	16490	46012	46476	15491	54406
C18-neg	cmp.QI5068	441.2845	11.12			14303	21985	3149	803	19186	376	5763	23447	28717	486	820	778	677	5065		2503	9390	577	902	21	12125	8	16	4675	3147	13739	15074	20895	13115	5611	5893	4566	5531	18270	43721	3292	8001	6494	10891	12108	8462	53380	55324	5162	2552	22114	3812	12413	8070	16509	12890
C18-neg	cmp.QI5069	441.2846	9.03			5799	18260	32353	23603	11815	20744	14415	2432	8746	9630	19499	20694	5110	22760	1535	12654	29758	1178	18002	4042	9606	3070	11378	18925	11294	5885	6291	10985	5068	2634	5130	892	5140	3845	6143	1049	4172	4482	10624	3806	1588	6254	6294	5092	1873	3075	2620	9229	10517	3900	10037
C18-neg	cmp.QI5070	441.2996	13.55			50016	9308	26272	69905	12697	40041	45046	4057	62283	29938	30037	41272	35242	29373	44420	3076	39441	7437	13338	11640	26297	34204	82139	19302	51312	47067	26186	27918	6096	4329	2111	3175	1497	4626	8021	738	2049	4238	25021	3206	7685	58671	16669	16981	14307	25211	7201	7532	10018	17594	24078
C18-neg	cmp.QI5071	441.3358	13.74			15086		314045	468		4324								1578							10971				167	18340	9382	4301		564			135		1956				11095	2539	225	4537	2254	374	760	1700		3199		26583	7396
C18-neg	cmp.QI5072	441.3359	9.21						4																	21221		3														691989	367782	21750	35942	5217	1554	71								21468
C18-neg	cmp.QI5073	441.3572	17.03			338438	124322	229775		32867	0	24813	138696	1		15	4768	3	93017			50390	142	20	96	125058	396	44124	66749	160299	356429	402485	159485	133588	138862	160101	270695	212315	138594	134488	143795	242675	226349	118421	274132	221156	204908	240571	192198	254574	169002	218671	130608	29898	86647	102631
C18-neg	cmp.QI5074	442.1892	6.65			10795	2825	0	303	3476	639	144	984	692	21327	680	531	599377	845	15017	51899	1273	15781	4456	199588	72618	1091	1007	2392	218	9397	62705	35165	63766	77746	97875	49449	143181	78620	83392	59759	42435	61896	71518	32826	71651	75278	127656	225786	226493	220378	157690	11527	239009	12157	66308
C18-neg	cmp.QI5075	442.1892	7.15			2357	355	120		66	37	72	1621	38	13409	1359	567	654978	351	788	22419	433	6265	230	133906	51288	1214	682	2	46	1112	38356	36631	47474	58973	78204	31848	102248	69438	93028	44348	20844	40046	59830	19747	64767	63700	103695	194236	169482	159199	140358	6267	149582	2896	61318
C18-neg	cmp.QI5076	442.8298	0.66			142653	149746	100523	3363	74170	43939	11362	124356	55634	28002		8191	30876	35425	21458	24113	6355	70358		2063	62281	36643		26588	63292	151211	141857	75646	74308	44283	51840	47939	58843	74533	87665	41816	32791	22503	56219	65988	42890	53937	62558	55735	57066	46376	32357	161560	120704	156471	60768
C18-neg	cmp.QI5077	442.8716	0.66			69755	54391	58124	28874	67690	67239	28692	70669	57429	54665	1294	27953	39548	38448	39765	33361	36428	57890	18491	51250	67797	39590	4317	76079	57959	76629	58619	68944	66809	72672	68260	58706	58969	63882	58717	66649	67674	43919	61352	54869	53523	53919	58860	51436	59783	57186	59235	75417	76424	78844	63808
C18-neg	cmp.QI5078	443.0067	2.08			4111			1831	3485		234			1016	8985			26917	3013		3665	571	14163	6340	2913	979	2748			3345	3865	5179	5859	4	28	221	2907	2005	2236		3828	38	3326	206	1592	331	4351	3626	1829	1095	1690	4987	6981	5059	2646
C18-neg	cmp.QI5079	443.0086	1.47			3431	41	11642	4444588	648312		16441241	838566	15344	15853452	71981	4030	5876779	113028	29240359	584248	9224616	540	60942289	55756	5074331	10108202	678202	2641		2252	400	4985	2144	3361	12177	4846	7949	6979	4445	7573	12809	9118	4857935	2495	5388	2339	3742	4800	7389	7128	12013	1423	2333	2328	5308341
C18-neg	cmp.QI5080	443.1252	0.88			93992	763	33642	50181	88040	3775	178482	42784	743	212521	1896	9842	1045	482	308980	37916	21873	6378	96343	1367	57342	2582	1422	352804	43801	114843	50171	91941	83756	35196	9992	7779	5072	52482	45203	22296	920	29029	52097	55845	26045	82707	39802	18084	37064	63656	12769	65733	2407	98842	48363
C18-neg	cmp.QI5081	443.1493	14.01			17160	10970	70491	5840	11406	21544	9561	49075	19720	49853	23694	10702	37753	21418	83367	41397	150791	20352	99032	49525	51812	77543	6946	20752	10154	11291	22746	43464	34709	51270	49857	33049	99042	52193	72282	68621	56049	47692	52346	21395	28651	13539	12554	57125	56572	41800	47368	7481	47522	20450	52209
C18-neg	cmp.QI5082	443.1516	14.83			328	83416																			60160							204416	16242	68698	358672	237286	250012	609631	661929	691004	292733	113637	76249	18040	6044	10137	4700						73858	1910	65157
C18-neg	cmp.QI5083	443.1518	14.75				261002													4472						113546							246448	31566	77912	392789	248600	259933	1090073	1325671	1006990	306165	113431	117423	40466	23385	33619	17345	6801	1022	7502			102222	9396	117688
C18-neg	cmp.QI5084	443.1565	10.23			10243				116						13117			10128							8967			2400		11086	11542	7617	4297	8085	8208	5077	6782	6957	9401	7466	5529	6901	7058	2726	8357	7341	8247	6409	6194	7351	7776		7747	13842	7229
C18-neg	cmp.QI5085	443.1729	15.56				225222													1342						90579							94313	11515	54972	172296	161203	136544	378169	357632	446119	158288	76528	85299	20834	6468	5003	3454						48866	884	80717
C18-neg	cmp.QI5086	443.1734	6.66			160		127830	324	118681	234233	109044	119425	350	56380	381	25929	181156	905	144767	54825	7277	3	7005	10732	52098	87306	527	1372	662	294	20955	21801	72625	36765	71548	53084	92466	72928	39101	70268	75900	38534	54044	24889	48069	1814	3305	70102	64282	7216	55677	5624	91486	102	52339
C18-neg	cmp.QI5087	443.2174	7.14			1156689	80849	9002	54277	12850	62435	76816	21068	420898	38699	186250	63948	34706	581720	70989	14140	246710	20432	11321	46330	126502	87571	136513	36409	36678	1161394	222243	53525	26112	210188	12845	9044	6446	98040	229750	13567	11397	10099	125344	50003	20250	24280	32376	16110	102165	115011	16031	232671	37821	94199	124517
C18-neg	cmp.QI5088	443.2403	6.70			14158	15381	12675	19554	8098	19568	20656	9724	28495	6617	8509	12748	20360	12285	17442	2188	10511	11356	13907	10737	11323	10796	9485	15302	18417	14269	10843	10597	10498	9196	11789	8763	13911	10969	14865	7288	10642	9069	16774	13067	10017	11501	12685	10769	11732	14198	8059	8965	19853	11543	13199
C18-neg	cmp.QI5089	443.2551	8.49			236		5053	11513	502	1730	4967	2866	5413	2838	12533	3953	2221	2355	1868	730	82845	1566	2360	3075	3647	2346	5784	22417	793	406	290	163	1286	173	37		111	102	131	67	270	36	3807	115	137	181	273	340	815	13	42	370	33	110	3558
C18-neg	cmp.QI5090	443.2552	8.67				94	14266	1405	54	2275	629	10637	127	17934	3865	101	6049	1421	14835	5445	37063			4845	5046	26	335	937	1149		549	984	45	20		546	894	510	125	2387		2820	4776		0	1	25	3793	1043	0	1892	80	87		4803
C18-neg	cmp.QI5091	443.2553	5.73					728	140	41	238	54			6451	56		1598		21964	5056			2770	150935	5243														28				4360			61	0	336			86				4847
C18-neg	cmp.QI5092	443.2554	8.77			761	71669	13777	13989	4273	8964	1516	1149	4738	781711	13660	2925	6482	1378	31115	3935852	135988	268	538052	4733327	779868	5769127	2952	2780	7053	1422	75352	241204	4207	8473	11260	174357	560279	125869	14349	213291	57034	886151	810500	2419	4239	296	242	746985	99072	674	436427	14247	14833	35509	816916
C18-neg	cmp.QI5093	443.2554	7.78			125	2820	91922	13038	3317	73297	3084	37018	3672	168102	3488	6721	77577	1354	104887	609341	206215	2732	88736	681415	60541	1207599	1451	2190	53371	840	3992	2819	1004	1123	827	4298	6688	2497	750	4047	1746	4588	60290	810	95	742	513	46313	2714	302	9404	3432	5162	811	58665
C18-neg	cmp.QI5094	443.2554	7.30			259	3979	97852	8162	1045	4307	3655	2224	2240	734127	8111	14111	78418	1189	527626	464975	31961	844	120218	3184970	405015	5425163	1883	3712	2286	1001	3448	6526	682	290	1076	4353	5223	2936	800	5110	500	3054	416280	176	485	1674	1225	157758	4008	1691	13076	1355	1856	1128	443990
C18-neg	cmp.QI5095	443.2555	6.55			139	283	7724	5428	629	5250	3540	364	1506	103215	1189	4841	46349	217	247431	29649	2500	34	37888	607487	61698	1682821	125	3762	1135	593	472	490	144	407	581	585	364	733	1116	131	176	909	63429	734	1946	4452	4073	6788	1356	3564	1425	1174	5272	525	66590
C18-neg	cmp.QI5096	443.2763	12.09			2341829	2141049	2617900	2665077	2195748	2608646	2702382	2627359	2356108	2726641	2754630	2533219	2783032	3089767	2816806	37909	3014724	2771815	2318913	1793581	2649626	2534281	2827623	2815918	2684121	2310757	2527571	2421607	2322031	2183804	2294027	2285737	2249001	2226430	2019847	2403988	2374477	2307247	2576133	2373688	2560369	2326206	2363005	2187641	2617684	2314695	2590476	1818777	2295141	2305816	2702265
C18-neg	cmp.QI5097	443.2764	11.40			1004975	588273	1412000	2099470	762505	1763783	1689777	1077170	1235409	768912	1862542	1969443	1552232	2360700	1654910	8427	2101272	778349	622884	216290	1165951	721889	1823697	1802761	1488277	1001720	989721	1136876	711561	583168	338354	481122	405028	423081	634616	439131	547519	546498	1186081	779257	619794	868335	782957	544521	948078	1086581	945159	516398	654864	951885	1123439
C18-neg	cmp.QI5098	443.2765	11.23			22084	133583	3442	242060	24274	97199	65757	2023	143876	9667	81973	180167	7240	336551	16430	659	34331	25001	8120	4782	48492	1024	291424	35969	178718	20250	23100	15305	10289	4756	2620	4071	2420	3467	13193	1909	4816	9181	50484	20185	17389	36820	35418	6795	11373	12461	13197	11323	17789	14067	49129
C18-neg	cmp.QI5099	443.3114	7.80			5398	2545	5600	25707	44592	100333	39929	52491	40664	37298	62444	38359	40525	54475	95950	8963	59311	6262	166	8244	60065	36061	14486	27722	45192	6625	38867	45649	35740	2926	18418	14878	14589	6055	6663	1963	2284	54419	55787	15313	62744	68485	88733	26166	20240	15674	16593	4376	25015	5622	60851
C18-neg	cmp.QI5100	443.3153	12.38			103059	71136	106674	33083	83139	128392	101771	30559	87117	61578	83997	67382	46526	107343	91963	42730	54675	10453	51143	11634	76502	103795	40021	68997	101385	91219	132689	109006	51272	24714	61054	53411	47523	64972	56754	43264	30458	42736	74072	51907	94784	162004	125348	98410	102767	124974	61429	34550	69499	92983	78304
C18-neg	cmp.QI5101	443.3477	11.57			21463	21219	22590	59656	24498	52965	35602	26638	23568	97084	19264	19428	24384	21745	22294	20241	102746	19668	22639	19032	26971	21335	59393	60534	21227	20462	21860	23252	25017	22033	22788	22496	23317	22761	23319	21888	23635	24064	27290	23765	22992	23502	21875	22670	24678	20784	25324	21872	16853	21401	29630
C18-neg	cmp.QI5102	443.7635	0.63			396631	382041	422895	267761	288250	209901	194465	489885	333464	113358	102418	138857	182028	297536	150893	237462	143769	314778	69059	67159	235600	338065	234369	152522	394603	391202	395906	301827	279955	198917	229769	283404	310459	296888	328749	245436	285167	225327	287867	367319	236395	196761	291020	269279	284269	233740	272195	67121	250691	394209	251168
C18-neg	cmp.QI5103	444.0260	1.32			4095	2410	1967	3873	528573		28649	19645		84			746							4158	6374	70			687	2538	1786	18615	10811	18998	44043	18834	36205	27439	25780	28345	43085	31307	6624	18340	28186	11209	15589	20959	23126	22890	36690	6466	14886	2979	6314
C18-neg	cmp.QI5104	444.3105	13.71			45437	9590	293045	272	43696	602	16598	347512	73	9015	702	8558	14430	29	8806	7387	9726		911	9714	37222	6694		2553	25455	32653	27348	9362	4089	25068	14806	17030	27206	65379	96456	30398	6327	16361	36540	19708	53346	85048	24426	30336	22065	61466	12234	17529	5245	65624	40406
C18-neg	cmp.QI5105	444.3105	13.61			35082	34020	98864	1182	44389	231	20633	210009	220	11851	1873	13799	11729	140	6423	1709	13718		2278	16072	35270	16989		41552	40934	21736	16339	9870	5009	25181	27404	25974	33483	84912	112506	44925	16822	26733	35562	27442	45681	50822	26961	35818	43652	96002	11118	20180	5179	37307	31824
C18-neg	cmp.QI5106	444.3317	16.93			309809	164877	84702	1367	214599	276262	354463	420671	211355	60728	246102	144319	38923	459654	23388	28153	338974	321418	21347	35277	339902	545260	241870	191546	297499	282314	402221	320487	300673	305665	287480	308123	278780	480994	648546	337287	277915	333776	322052	391449	375550	342830	650686	484797	388564	595046	248552	160373	137312	315184	316434
C18-neg	cmp.QI5107	445.0051	1.47			0		1874	1509023	206934	0	5570462	270760	3893	5496203	1659		2029770	23324	10135161	196906	3177778	88	21010450	15426	1728569	3477169	223928	82	40	8			12		203	4	4				1258	21	1641693	3	0								886		1809199
C18-neg	cmp.QI5108	445.1363	4.68			7188		154		12		6		48	3	73			136		2214				10474	5882		93	10		8808	10803	8679	12881	2743	4080	8222	9866	7567	8977	4821	10779	1441	4570	5189	4501	2059	6229	9264	10264	4841	8171	11952	8171	6477	4589
C18-neg	cmp.QI5109	445.1524	7.13			18103	1209	20644	6738	4380	1780	6578	46564	5820	6861	12232	1093	26770	5300	9838	6326	11839	6781	2485	21350	12067	2448	3896	288	12383	16871	16123	12943	13378	7300	18008	11921	12915	8738	4681	12119	8613	14710	14534	12029	8917	4452	16984	5792	7092	9132	5042	24404	43219	10686	13762
C18-neg	cmp.QI5110	445.1553	0.67			2096	17516				1273		719		638		150538	7785	13163	371975		1292		73358	10960853	197726	818	13935	212911	4000	7084	158	1910		490	1713		2879	1143		772	83	7572	225745	47949	1749	0	1	2758	4526	1744	1961			923	227493
C18-neg	cmp.QI5111	445.1650	14.49			10894	243	8944	1477		5883	2440	5599	3849	23884	17391	52526	103838	6105	127941	35717	113511	20161	122079	152671	48902	165212	5125	2737	11429	7650	6721	8076	7317	10172	9740	6194	27063	8612	7543	11803	20898	13140	48096	1520				3456	14705		12255	4457	18171	4701	45413
C18-neg	cmp.QI5112	445.1672	15.93				20605													344						9336							14331	2725	10511	33971	25445	23605	57542	52756	68249	26018	13466	9747	3509	1333		1033						8173		10327
C18-neg	cmp.QI5113	445.1674	15.56			109793	6763427	34554		56034										191744	647	18996				3007524	2396				47383	18263	3337063	621174	2090265	6302473	5455222	4743755	14424609	17367741	16259644	5413337	2789174	2771609	981290	466059	504570	388284	160821	87965	232566	36665	25279	1903179	238978	2743601
